Region.Label,Area,Sample.Label,Length,Effort,RadialDistance,Angle,size
ALTO,277000000,RPT1 A,3100,6200,120,330,4
ALTO,277000000,RPT1 A,3100,6200,427,60,8
ALTO,277000000,RPT1 A,3100,6200,85,300,1
ALTO,277000000,RPT1 A,3100,6200,380,290,1
ALTO,277000000,RPT1 A,3100,6200,215,330,4
ALTO,277000000,RPT1 A,3100,6200,90,30,2
ALTO,277000000,RPT1 A,3100,6200,239,320,38
ALTO,277000000,COML,3400,6800,172,70,3
ALTO,277000000,COML,3400,6800,300,50,1
ALTO,277000000,COML,3400,6800,29,50,1
ALTO,277000000,COML,3400,6800,493,40,1
ALTO,277000000,COML,3400,6800,447,70,2
ALTO,277000000,LAG 1 ,3500,7000,355,310,81
ALTO,277000000,LAG 2,3600,7200,256,40,69
ALTO,277000000,LAG 2,3600,7200,450,110,3
ALTO,277000000,LAG 3,3000,6000,181,340,10
ALTO,277000000,LAG 3,3000,6000,320,25,1
ALTO,277000000,ANT 1,3300,6600,305,40,16
ALTO,277000000,ANT 1,3300,6600,800,35,7
ALTO,277000000,ANT 1,3300,6600,223,310,2
ALTO,277000000,ANT 1,3300,6600,500,275,1
ALTO,277000000,ANT 1,3300,6600,480,0,7
ALTO,277000000,ANT 1,3300,6600,310,130,7
ALTO,277000000,ANT 2,3100,6200,327,265,7
ALTO,277000000,ANT 2,3100,6200,312,35,2
ALTO,277000000,ANT 2,3100,6200,470,120,4
ALTO,277000000,ANT 2,3100,6200,210,310,5
ALTO,277000000,ANT 2,3100,6200,137,15,1
ALTO,277000000,TRIA 1,4000,8000,180,35,7
ALTO,277000000,TRIA 1,4000,8000,250,20,4
ALTO,277000000,TRIA 1,4000,8000,387,85,1
ALTO,277000000,TRIA 1,4000,8000,313,340,42
ALTO,277000000,TRIA 1,4000,8000,215,20,1
ALTO,277000000,TRIA 2,3900,7800,376,25,17
ALTO,277000000,TRIA 2,3900,7800,450,10,2
ALTO,277000000,TRIA 2,3900,7800,224,80,3
ALTO,277000000,TRIA 2,3900,7800,120,20,3
ALTO,277000000,TRIA 2,3900,7800,266,350,3
ALTO,277000000,TRIA 2,3900,7800,181,45,1
ALTO,277000000,TRIA 2,3900,7800,512,45,33
ALTO,277000000,LIM S1,3500,7000,230,310,3
ALTO,277000000,LIM S1,3500,7000,278,310,1
ALTO,277000000,LIM S1,3500,7000,587,55,15
ALTO,277000000,LIM S1,3500,7000,542,320,9
ALTO,277000000,LIM S1,3500,7000,115,270,5
ALTO,277000000,LIM S1,3500,7000,335,20,5
ALTO,277000000,LIM S1,3500,7000,271,90,11
ALTO,277000000,LIM S1,3500,7000,153,305,7
ALTO,277000000,LIM S1,3500,7000,153,35,1
ALTO,277000000,LIM S1,3500,7000,251,30,1
ALTO,277000000,LIM S1,3500,7000,310,290,1
ALTO,277000000,LIM S2,3400,6800,320,0,10
ALTO,277000000,LIM S2,3400,6800,275,45,1
ALTO,277000000,LIM S2,3400,6800,433,280,25
ALTO,277000000,LIM S2,3400,6800,509,30,7
ALTO,277000000,LIM S2,3400,6800,182,330,1
ALTO,277000000,LIM S2,3400,6800,364,10,2
ALTO,277000000,LIM S2,3400,6800,215,345,1
ALTO,277000000,LIM S2,3400,6800,277,320,1
ALTO,277000000,LIM S2,3400,6800,200,0,4
ALTO,277000000,RP 63 A1,2200,4400,293,310,82
