Muestreo,est,Year,Fecha,Region.Label,Sample.Label,nombreviejo,Effort,Especie,size,Adultos,Juveniles,Crias,Area,Length,distance,distance_km
3,oto,2009,2009-04-06,ALTO,,antena,16.8,CH,2,2,0,0,277,8.4,3.5209189294242282,0.003520918929424228
3,oto,2009,2009-04-06,ALTO,,antena,16.8,CH,3,3,0,0,277,8.4,87.55768552920964,0.08755768552920963
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,CH,12,1,11,0,277,8.1,0,0
3,oto,2009,2009-04-15,ALTO,,antena,16.8,CH,1,1,0,0,277,8.4,0,0
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,CH,8,0,8,0,277,8.1,34.499595426988414,0.03449959542698841
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,CH,5,0,5,0,277,8.1,10.036310337069464,0.010036310337069464
3,oto,2009,2009-04-16,BAJO,,jack,12,CH,9,2,0,7,338,6,111.76697407190233,0.11176697407190232
3,oto,2009,2009-04-16,BAJO,,jack,12,CH,2,0,2,0,338,6,58.17141312438442,0.058171413124384425
3,oto,2009,2009-04-16,BAJO,,jack,12,CH,2,2,0,0,338,6,7.569975698262091,0.007569975698262091
4,inv,2009,2009-08-05,ALTO,,laguna,20,CH,3,3,0,0,277,10,25.17457034538323,0.02517457034538323
4,inv,2009,2009-08-05,ALTO,,laguna,20,CH,4,4,0,0,277,10,168.07137275690488,0.16807137275690487
4,inv,2009,2009-08-05,ALTO,,antena,16.8,CH,6,6,0,0,277,8.4,193.90471041461473,0.19390471041461474
4,inv,2009,2009-08-05,ALTO,,antena,16.8,CH,1,1,0,0,277,8.4,21.653651415959004,0.021653651415959003
4,inv,2009,2009-08-05,ALTO,,antena,16.8,CH,3,3,0,0,277,8.4,32.04036225776048,0.032040362257760475
4,inv,2009,2009-08-05,ALTO,,antena,16.8,CH,2,2,0,0,277,8.4,22.53388114831506,0.02253388114831506
4,inv,2009,2009-08-05,ALTO,,triangulo,16.2,CH,3,3,0,0,277,8.1,80.45969972405021,0.0804596997240502
4,inv,2009,2009-08-08,BAJO,,R63-RN,40,CH,10,8,0,2,338,20,307.45786671713284,0.3074578667171328
