Muestreo,est,Year,Fecha,Region.Label,Sample.Label,nombreviejo,Effort,Especie,size,Adultos,Juveniles,Crias,Area,Length,distance,distance_km
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,16,10,4,2,277,10,79.51109231387002,0.07951109231387002
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,11,6,0,5,277,10,132.31150621288256,0.13231150621288257
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,2,2,0,0,277,10,179.54768361523398,0.179547683615234
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,2,2,0,0,277,10,13.272803425521289,0.01327280342552129
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,6,6,0,0,277,10,75.95484616646382,0.07595484616646382
3,oto,2009,2009-04-06,ALTO,,pto laguna,20,G,8,7,0,1,277,10,162.0370051551228,0.16203700515512282
3,oto,2009,2009-04-06,ALTO,,antena,29.2,G,3,3,0,0,277,8.4,80.62866005567506,0.08062866005567505
3,oto,2009,2009-04-06,ALTO,,antena,16.8,G,6,6,0,0,277,8.4,88.0229732356057,0.0880229732356057
3,oto,2009,2009-04-06,ALTO,,antena,16.8,G,1,1,0,0,277,8.4,81.43948343260215,0.08143948343260214
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,25,17,0,8,277,8.1,205.61923262812832,0.2056192326281283
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,47,47,0,0,277,8.1,102.79569119750704,0.10279569119750703
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,4,3,0,1,277,8.1,224.9294640809531,0.2249294640809531
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,8,7,0,1,277,8.1,5.840719951054012,0.005840719951054013
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,4,3,0,1,277,8.1,117.17118955060162,0.11717118955060163
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,1,1,0,0,277,8.1,0,0
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,1,1,0,0,277,8.1,172.58535231269636,0.17258535231269637
3,oto,2009,2009-04-06,ALTO,,ruta 63-triángulo,16.2,G,15,10,0,5,277,8.1,0,0
3,oto,2009,2009-04-06,ALTO,,ruta 63,68,G,2,2,0,0,277,34,18.288637266133,0.018288637266133
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,10,6,0,4,338,34,12.851354092398433,0.012851354092398433
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,1,1,0,0,338,34,169.859366084106,0.169859366084106
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,1,1,0,0,338,34,99.23362965966191,0.09923362965966191
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,11,10,0,1,338,34,35.20918929424228,0.03520918929424228
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,39,27,0,12,338,34,0,0
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,3,3,0,0,338,34,39.71448876163558,0.03971448876163558
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,9,9,0,0,338,34,128.51354092398432,0.12851354092398432
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,1,1,0,0,338,34,545.3379647963403,0.5453379647963403
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,19,17,0,2,338,34,110.90894627686319,0.1109089462768632
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,14,14,0,0,338,34,160.91939944810042,0.1609193994481004
3,oto,2009,2009-04-06,BAJO,,ruta 63,68,G,3,3,0,0,338,34,232.16720446736673,0.23216720446736672
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,66,48,0,18,277,5.25,73.11434018287177,0.07311434018287177
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,15,10,0,5,277,5.25,154.0101147971641,0.15401011479716412
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,53,33,0,20,277,5.25,491.14630654971637,0.49114630654971636
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,5,4,0,1,277,5.25,139.46347952168702,0.13946347952168703
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,1,1,0,0,277,5.25,384.4185653482399,0.38441856534823987
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,3,2,0,1,277,5.25,89.39966636005579,0.0893996663600558
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,9,6,0,3,277,5.25,117.85908812089788,0.11785908812089788
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,1,1,0,0,277,5.25,107.27959963206695,0.10727959963206694
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,6,4,0,2,277,5.25,155.9606174618057,0.1559606174618057
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,51,31,0,20,277,5.25,59.85562180021188,0.05985562180021188
3,oto,2009,2009-04-07,ALTO,,tranquera blanca,10.5,G,107,NA,NA,NA,277,5.25,894.0101700837943,0.8940101700837942
3,oto,2009,2009-04-07,BAJO,,chacra,10,G,1,1,0,0,338,5,103.9329247822335,0.1039329247822335
3,oto,2009,2009-04-08,ALTO,,jack,24,G,105,NA,NA,NA,277,12,286.0789323521785,0.2860789323521785
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,4,2,0,2,277,8.4,55.1232272572379,0.0551232272572379
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,76,NA,NA,NA,277,8.4,130.27400038869644,0.13027400038869644
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,14,NA,NA,NA,277,8.4,387.4806624164287,0.3874806624164287
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,7,6,0,1,277,8.4,180.8877350140543,0.1808877350140543
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,5,5,0,0,277,8.4,33.94510559521209,0.03394510559521209
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,9,6,0,3,277,8.4,21.569285846957683,0.021569285846957685
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,6,5,1,0,277,8.4,140.44432657868333,0.14044432657868333
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,26,16,6,4,277,8.4,619.1125452463112,0.6191125452463112
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,2,2,0,0,277,8.4,702.8043775665878,0.7028043775665879
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,9,5,2,2,277,8.4,0,0
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,17,NA,NA,NA,277,8.4,286.08325442681416,0.28608325442681415
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,14,NA,NA,NA,277,8.4,993.8886539233753,0.9938886539233752
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,6,5,0,1,277,8.4,76.79884043265166,0.07679884043265166
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,15,10,0,5,277,8.4,125.1595329040781,0.1251595329040781
3,oto,2009,2009-04-15,ALTO,,antena,16.8,G,1,1,0,0,277,8.4,53.98681535466207,0.05398681535466207
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,7,4,1,2,277,8.1,90.82291891025544,0.09082291891025544
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,12,9,0,3,277,8.1,228.79772749091026,0.22879772749091026
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,41,NA,NA,NA,277,8.1,391.5705386570443,0.39157053865704433
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,18,NA,NA,2,277,8.1,90.31157053973145,0.09031157053973145
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,49,NA,NA,NA,277,8.1,804.5969972405021,0.8045969972405022
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,53,NA,NA,NA,277,8.1,214.5591992641339,0.2145591992641339
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,4,2,0,2,277,8.1,59.14216358912299,0.059142163589122984
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,4,4,0,0,277,8.1,87.44964701604147,0.08744964701604147
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,9,6,0,3,277,8.1,10.165851936066122,0.010165851936066122
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,49,34,0,15,277,8.1,54.25629055619457,0.05425629055619457
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,15,10,0,5,277,8.1,58.16724531141457,0.05816724531141457
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,44,24,0,20,277,8.1,49.69443269616876,0.04969443269616876
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,4,3,0,1,277,8.1,58.095162335499765,0.058095162335499766
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,1,1,0,0,277,8.1,76.05184887556334,0.07605184887556334
3,oto,2009,2009-04-15,ALTO,,ruta 63-triángulo,16.2,G,1,1,0,0,277,8.1,0,0
