Muestreo;Region.Label;Sample.Label;nombreviejo;Effort;Especie;size;AdultJuv;Adultos;Juveniles;Crias;Lat;Lon;RadialDistance;Angle;Area;Length
1;ALTO;ANTENA;1;16,8;G;1;1;1;0;0;-50,25215887;-68,95823834;235;105;277;
1;ALTO;ANTENA;1;16,8;G;2;2;2;0;0;-50,25215887;-68,95823834;330;305;277;
1;ALTO;ANTENA;1;16,8;G;7;7;7;0;0;-50,24932452;-68,95438048;328;95;277;
1;ALTO;ANTENA;1;16,8;G;6;6;6;0;0;-50,23099951;-68,81049111;49;320;277;
1;ALTO;ANTENA;1;16,8;G;15;NA;NA;NA;NA;-50,22759813;-68,79754451;NA;NA;277;
1;ALTO;ANTENA;1;16,8;G;7;NA;NA;NA;NA;-50,22759813;-68,79754451;NA;NA;277;
1;ALTO;ANTENA;1;16,8;G;13;NA;NA;NA;NA;-50,22759813;-68,79754451;NA;NA;277;
1;ALTO;ANTENA;1;16,8;G;10;NA;NA;NA;NA;-50,22759813;-68,79754451;NA;NA;277;
1;ALTO;ANTENA;1;16,8;G;1;1;1;0;0;-50,21928051;-68,78984054;500;65;277;
1;ALTO;ANTENA;1;16,8;G;2;2;2;0;0;-50,24955276;-68,95471534;362;325;277;
1;ALTO;ANTENA;1;16,8;G;1;1;1;0;0;-50,24738956;-68,92385309;224;170;277;
1;ALTO;ANTENA;1;16,8;G;18;18;18;0;0;-50,24951831;-68,91002999;500;0;277;
1;ALTO;ANTENA;1;16,8;G;1;1;1;0;0;-50,25385922;-68,88843561;153;180;277;
1;ALTO;ANTENA;1;16,8;G;3;3;2;1;0;-50,25372704;-68,88473894;0;NA;277;
1;ALTO;CHACRA;2;4;G;1;1;1;0;0;-50,20742306;-68,91849068;307;80;277;
1;ALTO;CHACRA;2;4;G;8;5;5;0;3;-50,20742306;-68,91849068;420;5;277;
1;ALTO;JACK;3;12;G;37;37;34;3;0;-50,25074501;-69,00171108;431;70;277;
1;ALTO;JACK;3;12;CH;3;NA;NA;NA;NA;-50,25074501;-69,00171108;130;260;277;
1;ALTO;JACK;3;12;G;2;NA;1;NA;NA;-50,25074501;-69,00171108;167;215;277;
1;ALTO;JACK;3;12;G;4;4;4;0;0;-50,26058335;-69,00318235;250;180;277;
1;ALTO;JACK;3;12;G;1;1;1;0;0;-50,26620065;-69,01109227;250;290;277;
1;ALTO;JACK;3;12;G;1;1;1;0;0;-50,26827592;-69,01601211;102;160;277;
1;ALTO;JACK;3;12;G;6;4;4;0;2;-50,27181384;-69,0252001;160;135;277;
1;ALTO;JACK;3;12;G;3;2;2;0;1;-50,27356943;-69,02901035;259;130;277;
