"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo","a$Muestreo","Muestreo","dia1","mes1","anio","est","fecha","season"
"1",hn,1569.8369,0.1927302,0.4788875,0.03114021, 1,hn,ML,12.525421, 3.967121, 5.965971, 26.29684, 6.543307,0.8238417, 7703.134, 3669.072,16172.555, 1, 1, 1,16, 1,2007,"ver",2007-01-16,"Summer"
"2",hn, 414.0197,0.9248041,0.3378874,0.05530231, 2,hn,ML,37.236506,14.132644,14.045105, 98.72175,15.617647,4.9686148,22900.451, 8637.740,60713.876, 2, 2, 2,10, 4,2008,"oto",2008-04-10,"Autumn"
"3",hn,1115.6273,0.8356145,0.2805680,0.02122771, 3,hn,ML,29.779052,14.219913, 9.954382, 89.08559,16.031250,4.3147266,18314.117, 6121.945,54787.638, 3, 3, 3, 6, 4,2009,"oto",2009-04-06,"Autumn"
"4",hr, 874.0008,0.3362502,0.2501001,0.06754740, 4,hr,ML,25.400125, 9.201616,12.353551, 52.22517,12.647887,2.4007076,15621.077, 7597.434,32118.481, 4, 4, 4, 5, 8,2009,"inv",2009-08-05,"Winter"
"5",hn,1911.2714,0.7775913,0.2611399,0.01921540, 5,hn,ML,28.878589, 9.085167,13.878588, 60.09062, 6.560976,1.2968183,17760.332, 8535.331,36955.731, 5, 5, 5,10,12,2009,"ver",2009-12-10,"Summer"
"6",hr,1316.4183,0.9585458,0.2076409,0.02924440, 6,hr,ML,45.702782,14.698503,22.517946, 92.75910,11.773913,2.4758098,28107.211,13848.537,57046.844, 6, 6, 6, 9, 3,2010,"oto",2010-03-09,"Autumn"
"7",hr, 248.2916,0.5983728,0.1389422,0.03930542, 7,hr,ML,22.368233,15.741270, 4.627849,108.11455,16.782609,5.9306897,13756.463, 2846.127,66490.450, 7, 7, 7,28, 6,2010,"inv",2010-06-28,"Winter"
"8",hr,1514.9719,0.5898532,0.2282857,0.03472409, 8,hr,ML,28.736514, 8.210923,15.571371, 53.03240, 7.255814,1.3255155,17672.956, 9576.393,32614.928, 8, 8, 8,11, 9,2010,"pri",2010-09-11,"Spring"
"9",hr,2040.0361,0.8675299,0.2857583,0.04237709, 9,hr,ML,29.235750,13.802201,10.234359, 83.51565, 6.970760,1.7085154,17979.986, 6294.131,51362.123, 9, 9, 9, 2,12,2010,"ver",2010-12-02,"Summer"
"10",hr,1222.3118,0.3639427,0.2121751,0.05242465,10,hr,ML,34.750278,17.640630,11.997519,100.65263,10.520000,2.7400167,21371.421, 7378.474,61901.368,10,10,10, 7, 3,2011,"oto",2011-03-07,"Autumn"
"11",hn, 627.7677,0.6769068,0.5848172,0.07306729,11,hn,ML,10.463630, 2.928378, 5.535015, 19.78090,15.920000,3.9364351, 6435.133, 3404.034,12165.251,11,11,11, 6, 6,2011,"inv",2011-06-06,"Winter"
"12",unif,1118.0095,0.6365646,0.5433838,0.02811868,12,unif,ML, 4.901329, 1.488145, 2.393713, 10.03588, 4.222222,0.8440533, 3014.317, 1472.134, 6172.066,12,12,12,11,12,2011,"ver",2011-12-11,"Summer"
"13",unif,1189.3058,0.7820137,0.5782026,0.03507891,13,unif,ML,12.279093, 4.245656, 5.460495, 27.61217,10.663158,2.5426378, 7551.642, 3358.205,16981.483,13,13,13, 3, 3,2012,"oto",2012-03-03,"Autumn"
