"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo"
"1",hn,1406.3655,0.69005965,0.5235584,0.06209880, 1,hn,ML,16.006334, 5.6176257, 7.246838, 35.353727, 6.559322, 0.9377650, 9843.895, 4456.805,21742.542, 1
"2",unif,1409.6069,0.18245051,0.6548007,0.04837483, 1,unif,ML,12.798171, 4.3318457, 5.819670, 28.144756, 6.559322, 0.9377650, 7870.875, 3579.097,17309.025, 1
"3",hr,1406.7170,0.59857534,0.4763308,0.09663030, 1,hr,ML,17.593344, 6.8197851, 7.741994, 39.980106, 6.559322, 0.9377650,10819.906, 4761.326,24587.765, 1
"4",hn, 360.7900,0.74403724,0.5259763,0.06560616, 2,hn,ML,33.380926,13.2297088,11.151773, 99.920098,15.935484, 4.8744423,20529.269, 6858.340,61450.861, 2
"5",unif, 360.4881,0.54236336,0.5600993,0.04628614, 2,unif,ML,31.347258,12.0735761,10.169589, 96.626381,15.935484, 4.8744423,19278.563, 6254.297,59425.224, 2
"6",hr, 361.9191,0.89355570,0.4325080,0.12770594, 2,hr,ML,40.594802,19.4134481,14.095804,116.909822,15.935484, 4.8744423,24965.803, 8668.920,71899.540, 2
"7",hn,1075.1259,0.84636454,0.3838434,0.04129135, 3,hn,ML,31.504603,14.9088859,10.766254, 92.189916,15.797872, 4.0827218,19375.331, 6621.246,56696.798, 3
"8",unif,1071.8362,0.55280822,0.4351591,0.03947599, 3,unif,ML,27.789455,13.0522577, 9.499455, 81.294534,15.797872, 4.0827218,17090.515, 5842.165,49996.138, 3
"9",hr,1072.9467,0.86544956,0.4073033,0.05753177, 3,hr,ML,29.690000,14.3106156,10.128909, 87.027746,15.797872, 4.0827218,18259.350, 6229.279,53522.064, 3
"10",hn, 767.8078,0.25388817,0.6307821,0.06451872, 4,hn,ML,14.450355, 3.9067099, 7.847607, 26.608462,13.215385, 2.4871611, 8886.968, 4826.278,16364.204, 4
"11",unif, 767.2115,0.27362617,0.6181242,0.05471590, 4,unif,ML,14.746269, 3.9144315, 8.032167, 27.072703,13.215385, 2.4871611, 9068.956, 4939.782,16649.712, 4
"12",hr, 767.3848,0.33499740,0.4048463,0.10429346, 4,hr,ML,22.514778, 8.0863308,10.952932, 46.281235,13.215385, 2.4871611,13846.588, 6736.053,28462.959, 4
"13",hn,1778.6353,0.85523496,0.3561655,0.02805453, 5,hn,ML,30.786521, 9.7075963,14.809070, 64.001986, 6.643312, 1.3859836,18933.711, 9107.578,39361.222, 5
"14",unif,1781.4877,0.64348207,0.3831581,0.03382295, 5,unif,ML,28.617684, 9.0954901,13.754922, 59.540274, 6.643312, 1.3859836,17599.876, 8459.277,36617.269, 5
"15",hr,1779.5669,0.85029766,0.3621235,0.04315382, 5,hr,ML,30.279989, 9.9244143,14.486774, 63.290676, 6.643312, 1.3859836,18622.193, 8909.366,38923.766, 5
