"","muestreo","D_est","SE","Lcl","Ucl","Group_Size_est","SE_grupo","N_est","LclN","UclN"
"1",20,9.9793117452492,4.02102849432378,4.54021191323674,23.9455610020733,12.3426570112696,3.98685104646214,6137.27672332826,2792.23032664059,14726.5200162751
"2",21,19.7440567975345,7.29846055834943,10.0841839210064,47.6512393345536,13.9944300942541,4.62102970571562,12142.5949304837,6201.77311141896,29305.5121907505
"3",22,13.0654264941074,0.0468114010874426,0.0615004981864287,0.277567457999214,5.95918367346939,5.32737152187191,8035.23729387603,3782.28063846536,17070.3986669517
"4",23,31.5951699566356,0.0793231696172128,0.181735385043033,0.549290257564487,12.5445544554455,4.53344765424118,19431.0295233309,11176.7261801465,33781.350840216
"5",24,18.8215350479877,6.65441914412762,9.28804338989845,40.6701733487924,13.4520359184783,4.71406993432584,11575.2440545125,5712.14668478755,25012.1566095073
"6",25,25.9475169695562,6.77161841890104,15.3182523615957,45.0364427610243,6.04093108788231,1.14948606086334,15957.722936277,9420.72520238135,27697.4122980299
"7",26,22.4969894864718,8.84669948886476,10.1476665226064,52.335298985949,9.3625586038764,2.43234874828963,13835.6485341801,6240.81491140295,32186.2088763586
"8",27,17.8174730804644,0.0537363336218755,0.0963051768822471,0.329642037168197,7.64335664335664,4.82294214925461,10957.7459444856,5922.76837825819,20272.9852858441
"9",28,9.27666524610536,0.0306149350760425,0.0475932136966187,0.180816783327269,4.89108910891089,3.48190186718518,5705.1491263548,2926.98264234205,11120.232174627
"10",29,18.7387366523114,0.0396967778604556,0.120832566393556,0.290600673150484,9.37419354838709,5.37866154354408,11524.3230411715,7431.20283320371,17871.9413987548
"11",30,9.32729797590827,3.64555220633967,4.2525855929121,21.3690467922863,5.32507792666859,1.53255236860135,5736.28825518359,2615.34013964094,13141.9637772561
"12",31,17.4031720054768,6.39624527972483,8.06152246794827,38.6559218598378,5.66292158405455,1.04322131809528,10702.9507833682,4957.83631778819,23773.3919438002
"13",32,24.2429787817128,8.51703348115849,12.5282672990395,55.1406809640688,10.4452709009786,4.15329553417168,14909.4319507534,7704.88438890932,33911.5187929023
"14",33,17.9554468601129,7.97335032222263,7.65819295042342,46.7523843975413,8.56726240538267,2.80561503061029,11042.5998189694,4709.78866451041,28752.7164044879
"15",34,19.0713585102842,0.0303433086631403,0.137926846517631,0.263702625421292,9.16071428571428,2.97518491197046,11728.8854838248,8482.50106083429,16217.7114634095
