"","muestreo","D_est","SE","Lcl","Ucl","Group_Size_est","SE_grupo","N_est","LclN","UclN","est","año"
"1",20,21.0965561238258,8.69264254722122,9.44042614192709,51.4863135818652,12.3426570112696,4.00572920377138,12974.3820161529,5805.86207728516,31664.0828528471,"oto",2015
"2",21,20.0238011737475,7.46280309770358,10.1564476527593,48.7324943512031,13.9944300942541,4.62102970571562,12314.6377218547,6246.21530644699,29970.4840259899,"pri",2015
"3",22,13.0654264941074,4.68114010874427,6.15004981864287,27.7567457999214,5.95918367346939,5.32737152187191,8035.23729387603,3782.28063846536,17070.3986669517,"ver",2015
"4",23,31.5951699566356,7.93231696172121,18.1735385043034,54.9290257564486,12.5445544554455,4.53344765424117,19431.0295233309,11176.7261801466,33781.3508402159,"oto",2016
"5",24,18.8215350479878,6.65441914412755,9.2880433898985,40.6701733487922,13.4520359184783,4.71406993432584,11575.2440545125,5712.14668478758,25012.1566095072,"pri",2016
"6",25,25.9475115938365,6.77161757739953,15.3182486408161,45.0364350429059,6.04093108788231,1.14948606086334,15957.7196302095,9420.72291410192,27697.4075513871,"ver",2017
"7",26,19.8906964112179,7.61986696978536,9.15406998656091,46.2107373163917,8.42958985560005,2.66361741140638,12232.778292899,5629.75304173496,28419.6034495809,"oto",2017
"8",27,23.4164050893685,6.3098366743979,13.286172869788,41.2705775156872,15.2808988764045,2.08910527104228,14401.0891299616,8170.99631491961,25381.4051721476,"oto",2018
"9",28,17.8174730804644,5.37363336218752,9.63051768822472,32.9642037168196,7.64335664335664,4.82294214925461,10957.7459444856,5922.7683782582,20272.9852858441,"pri",2018
"10",29,12.4772711940861,4.74311224049581,5.80019461546759,29.1173417006653,4.7270243902439,1.40748060382817,7673.52178436295,3567.11968851257,17907.1651459091,"ver",2018
"11",30,19.1656778194075,4.05670867226677,12.3808775141128,29.6685922188167,9.3741935483871,5.4211812688017,11786.8918589356,7614.23967117939,18246.1842145723,"oto",2019
"12",31,9.40586726789309,3.58666098171045,4.36120444900408,21.0800516903937,5.33704524924037,1.53547912786457,5784.60836975425,2682.14073613751,12964.2317895921,"pri",2019
"13",32,17.180729363426,6.35729450617973,7.91030161517092,38.3524768731431,5.60480461578809,0.998382432311965,10566.148558507,4864.83549333012,23586.773276983,"ver",2019
"14",33,22.9991331432753,7.59906985135419,12.3165543534788,50.9250981047063,10.4664117921165,4.17171990253878,14144.4668831143,7574.68092738948,31318.9353343944,"oto",2020
"15",34,17.0562469888804,7.44900509128845,7.16790590322316,44.4823185730121,8.56726240538267,2.80561503061029,10489.5918981615,4408.26213048224,27356.6259224024,"ver",2021
"16",35,18.3571301092287,2.98158711808418,13.2029359307614,25.5234311227713,9.16071428571429,2.97518491197046,11289.6350171756,8119.80559741823,15696.9101405043,"oto",2021
"17",36,16.8634256178672,5.37763131232567,8.61420608922305,33.2155992313282,6.57669504074594,1.59216714629809,10371.0067549883,5297.73674487217,20427.5935272669,"pri",2021
